chart_week,title,performer
1981-11-07,Private Eyes,Daryl Hall John Oates
1981-11-21,Physical,Olivia Newton-John
1982-01-30,I Can't Go For That (No Can Do),Daryl Hall John Oates
1982-02-06,Centerfold,The J. Geils Band
1982-03-20,I Love Rock 'N Roll,Joan Jett & the Blackhearts
1982-05-08,Chariots Of Fire - Titles,Vangelis
1982-05-15,Ebony And Ivory,Paul McCartney And Stevie Wonder
1982-07-03,Don't You Want Me,The Human League
1982-07-24,Eye Of The Tiger,Survivor
1982-09-04,Abracadabra,The Steve Miller Band
1982-09-11,Hard To Say I'm Sorry,Chicago
1982-10-02,Jack & Diane,John Cougar
1982-10-30,Who Can It Be Now?,Men At Work
1982-11-06,Up Where We Belong,Joe Cocker And Jennifer Warnes
1982-11-27,Truly,Lionel Richie
1982-12-11,Mickey,Toni Basil
1982-12-18,Maneater,Daryl Hall John Oates
1983-01-15,Down Under,Men At Work
1983-02-05,Africa,Toto
1983-02-19,"Baby, Come To Me",Patti Austin A Duet With James Ingram
1983-03-05,Billie Jean,Michael Jackson
1983-04-23,Come On Eileen,Dexys Midnight Runners
1983-04-30,Beat It,Michael Jackson
1983-05-21,Let's Dance,David Bowie
1983-05-28,Flashdance...What A Feeling,Irene Cara
1983-07-09,Every Breath You Take,The Police
1983-09-03,Sweet Dreams (Are Made Of This),Eurythmics
1983-09-10,Maniac,Michael Sembello
1983-09-24,Tell Her About It,Billy Joel
1983-10-01,Total Eclipse Of The Heart,Bonnie Tyler
1983-10-29,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
1983-11-12,All Night Long (All Night),Lionel Richie
1983-12-10,Say Say Say,Paul McCartney And Michael Jackson
1984-01-21,Owner Of A Lonely Heart,Yes
1984-02-04,Karma Chameleon,Culture Club
1984-02-25,Jump,Van Halen
1984-03-31,Footloose,Kenny Loggins
1984-04-21,Against All Odds (Take A Look At Me Now),Phil Collins
1984-05-12,Hello,Lionel Richie
1984-05-26,Let's Hear It For The Boy,Deniece Williams
1984-06-09,Time After Time,Cyndi Lauper
1984-06-23,The Reflex,Duran Duran
1984-07-07,When Doves Cry,Prince
1984-08-11,Ghostbusters,Ray Parker Jr.
1984-09-01,What's Love Got To Do With It,Tina Turner
1984-09-22,Missing You,John Waite
1984-09-29,Let's Go Crazy,Prince And The Revolution
1984-10-13,I Just Called To Say I Love You,Stevie Wonder
1984-11-03,Caribbean Queen (No More Love On The Run),Billy Ocean
1984-11-17,Wake Me Up Before You Go-Go,Wham!
1984-12-08,Out Of Touch,Daryl Hall John Oates
1984-12-22,Like A Virgin,Madonna
1985-02-02,I Want To Know What Love Is,Foreigner
1985-02-16,Careless Whisper,Wham! Featuring George Michael
1985-03-09,Can't Fight This Feeling,REO Speedwagon
1985-03-30,One More Night,Phil Collins
1985-04-13,We Are The World,USA For Africa
1985-05-11,Crazy For You,Madonna
1985-05-18,Don't You (Forget About Me),Simple Minds
1985-05-25,Everything She Wants,Wham!
1985-06-08,Everybody Wants To Rule The World,Tears For Fears
1985-06-22,Heaven,Bryan Adams
1985-07-06,Sussudio,Phil Collins
1985-07-13,A View To A Kill,Duran Duran
1985-07-27,Everytime You Go Away,Paul Young
1985-08-03,Shout,Tears For Fears
1985-08-24,The Power Of Love,Huey Lewis & The News
1985-09-07,St. Elmo's Fire (Man In Motion),John Parr
1985-09-21,Money For Nothing,Dire Straits
1985-10-12,Oh Sheila,Ready For The World
1985-10-19,Take On Me,a-ha
1985-10-26,Saving All My Love For You,Whitney Houston
1985-11-02,Part-Time Lover,Stevie Wonder
1985-11-09,Miami Vice Theme,Jan Hammer
1985-11-16,We Built This City,Starship
1985-11-30,Separate Lives,Phil Collins and Marilyn Martin
1985-12-07,Broken Wings,Mr. Mister
1985-12-21,"Say You, Say Me",Lionel Richie
1986-01-18,That's What Friends Are For,Dionne & Friends
1986-02-15,How Will I Know,Whitney Houston
1986-03-01,Kyrie,Mr. Mister
1986-03-15,Sara,Starship
1986-03-22,These Dreams,Heart
1986-03-29,Rock Me Amadeus,Falco
1986-04-19,Kiss,Prince And The Revolution
1986-05-03,Addicted To Love,Robert Palmer
1986-05-10,West End Girls,Pet Shop Boys
1986-05-17,Greatest Love Of All,Whitney Houston
1986-06-07,Live To Tell,Madonna
1986-06-14,On My Own,Patti LaBelle & Michael McDonald
1986-07-05,There'll Be Sad Songs (To Make You Cry),Billy Ocean
1986-07-12,Holding Back The Years,Simply Red
1986-07-19,Invisible Touch,Genesis
1986-07-26,Sledgehammer,Peter Gabriel
1986-08-02,"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera
1986-08-16,Papa Don't Preach,Madonna
1986-08-30,Higher Love,Steve Winwood
1986-09-06,Venus,Bananarama
1986-09-13,"Take My Breath Away (Love Theme From ""Top Gun"")",Berlin
1986-09-20,Stuck With You,Huey Lewis & The News
1986-10-11,When I Think Of You,Janet Jackson
1986-10-25,True Colors,Cyndi Lauper
1986-11-08,Amanda,Boston
1986-11-22,Human,The Human League
1986-11-29,You Give Love A Bad Name,Bon Jovi
1986-12-06,The Next Time I Fall,Peter Cetera With Amy Grant
1986-12-13,The Way It Is,Bruce Hornsby & The Range
1986-12-20,Walk Like An Egyptian,The Bangles
1987-01-17,Shake You Down,Gregory Abbott
1987-01-24,At This Moment,Billy Vera & The Beaters
1987-02-07,Open Your Heart,Madonna
1987-02-14,Livin' On A Prayer,Bon Jovi
1987-03-14,Jacob's Ladder,Huey Lewis & The News
1987-03-21,Lean On Me,Club Nouveau
1987-04-04,Nothing's Gonna Stop Us Now,Starship
1987-04-18,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael
1987-05-02,(I Just) Died In Your Arms,Cutting Crew
1987-05-16,With or Without You,U2
1987-06-06,You Keep Me Hangin' On,Kim Wilde
1987-06-13,Always,Atlantic Starr
1987-06-20,Head To Toe,Lisa Lisa And Cult Jam
1987-06-27,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
1987-07-11,Alone,Heart
1987-08-01,"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger
1987-08-08,I Still Haven't Found What I'm Looking For,U2
1987-08-22,Who's That Girl,Madonna
1987-08-29,La Bamba,Los Lobos
1987-09-19,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett
1987-09-26,Didn't We Almost Have It All,Whitney Houston
1987-10-10,Here I Go Again,Whitesnake
1987-10-17,Lost In Emotion,Lisa Lisa And Cult Jam
1987-10-24,Bad,Michael Jackson
1987-11-07,I Think We're Alone Now,Tiffany
1987-11-21,Mony Mony,Billy Idol
1987-11-28,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes
1987-12-05,Heaven Is A Place On Earth,Belinda Carlisle
1987-12-12,Faith,George Michael
1988-01-09,So Emotional,Whitney Houston
1988-01-16,Got My Mind Set On You,George Harrison
1988-01-23,The Way You Make Me Feel,Michael Jackson
1988-01-30,Need You Tonight,INXS
1988-02-06,Could've Been,Tiffany
1988-02-20,Seasons Change,Expose
1988-02-27,Father Figure,George Michael
1988-03-12,Never Gonna Give You Up,Rick Astley
1988-03-26,Man In The Mirror,Michael Jackson
1988-04-09,"Get Outta My Dreams, Get Into My Car",Billy Ocean
1988-04-23,Where Do Broken Hearts Go,Whitney Houston
1988-05-07,Wishing Well,Terence Trent D'Arby
1988-05-14,Anything For You,Gloria Estefan & Miami Sound Machine
1988-05-28,One More Try,George Michael
1988-06-18,Together Forever,Rick Astley
1988-06-25,Foolish Beat,Debbie Gibson
1988-07-02,Dirty Diana,Michael Jackson
1988-07-09,The Flame,Cheap Trick
1988-07-23,Hold On To The Nights,Richard Marx
1988-07-30,Roll With It,Steve Winwood
1988-08-27,Monkey,George Michael
1988-09-10,Sweet Child O' Mine,Guns N' Roses
1988-09-24,"Don't Worry, Be Happy (From ""Cocktail"")",Bobby McFerrin
1988-10-08,Love Bites,Def Leppard
1988-10-15,Red Red Wine,UB40
1988-10-22,Groovy Kind Of Love,Phil Collins
1988-11-05,"Kokomo (From""Cocktail"" )",The Beach Boys
1988-11-12,"Wild, Wild West",The Escape Club
1988-11-19,Bad Medicine,Bon Jovi
1988-12-03,"Baby, I Love Your Way/Freebird Medley",Will To Power
1988-12-10,Look Away,Chicago
1988-12-24,Every Rose Has Its Thorn,Poison
1989-01-14,My Prerogative,Bobby Brown
1989-01-21,Two Hearts,Phil Collins
1989-02-04,When I'm With You,Sheriff
1989-02-11,Straight Up,Paula Abdul
1989-03-04,Lost In Your Eyes,Debbie Gibson
1989-03-25,The Living Years,Mike + The Mechanics
1989-04-01,Eternal Flame,The Bangles
1989-04-08,The Look,Roxette
1989-04-15,She Drives Me Crazy,Fine Young Cannibals
1989-04-22,Like A Prayer,Madonna
1989-05-13,I'll Be There For You,Bon Jovi
1989-05-20,Forever Your Girl,Paula Abdul
1989-06-03,"Rock On (From ""Dream A Little Dream"")",Michael Damian
1989-06-10,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler
1989-06-17,I'll Be Loving You (Forever),New Kids On The Block
1989-06-24,Satisfied,Richard Marx
1989-07-01,Baby Don't Forget My Number,Milli Vanilli
1989-07-08,Good Thing,Fine Young Cannibals
1989-07-15,If You Don't Know Me By Now,Simply Red
1989-07-22,Toy Soldiers,Martika
1989-08-05,"Batdance (From ""Batman"")",Prince
1989-08-12,Right Here Waiting,Richard Marx
1989-09-02,Cold Hearted,Paula Abdul
1989-09-09,Hangin' Tough,New Kids On The Block
1989-09-16,Don't Wanna Lose You,Gloria Estefan
1989-09-23,Girl I'm Gonna Miss You,Milli Vanilli
1989-10-07,Miss You Much,Janet Jackson
1989-11-04,Listen To Your Heart,Roxette
1989-11-11,When I See You Smile,Bad English
1989-11-25,Blame It On The Rain,Milli Vanilli
1989-12-09,We Didn't Start The Fire,Billy Joel
1989-12-23,Another Day In Paradise,Phil Collins
1990-01-20,How Am I Supposed To Live Without You,Michael Bolton
1990-02-10,Opposites Attract,Paula Abdul (Duet With The Wild Pair)
1990-03-03,Escapade,Janet Jackson
1990-03-24,Black Velvet,Alannah Myles
1990-04-07,Love Will Lead You Back,Taylor Dayne
1990-04-14,I'll Be Your Everything,Tommy Page
1990-04-21,Nothing Compares 2 U,Sinead O'Connor
1990-05-19,Vogue,Madonna
1990-06-09,Hold On,Wilson Phillips
1990-06-16,"It Must Have Been Love (From ""Pretty Woman"")",Roxette
1990-06-30,Step By Step,New Kids On The Block
1990-07-21,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown
1990-08-04,Vision Of Love,Mariah Carey
1990-09-01,If Wishes Came True,Sweet Sensation
1990-09-08,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi
1990-09-15,Release Me,Wilson Phillips
1990-09-29,(Can't Live Without Your) Love And Affection,Nelson
1990-10-06,Close To You,Maxi Priest
1990-10-13,Praying For Time,George Michael
1990-10-20,I Don't Have The Heart,James Ingram
1990-10-27,Black Cat,Janet Jackson
1990-11-03,Ice Ice Baby,Vanilla Ice
1990-11-10,Love Takes Time,Mariah Carey
1990-12-01,I'm Your Baby Tonight,Whitney Houston
1990-12-08,Because I Love You (The Postman Song),Stevie B
1991-01-05,Justify My Love,Madonna
1991-01-19,Love Will Never Do (Without You),Janet Jackson
1991-01-26,The First Time,Surface
1991-02-09,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory
1991-02-23,All The Man That I Need,Whitney Houston
1991-03-09,Someday,Mariah Carey
1991-03-23,One More Try,Timmy T.
1991-03-30,Coming Out Of The Dark,Gloria Estefan
1991-04-13,I've Been Thinking About You,Londonbeat
1991-04-20,You're In Love,Wilson Phillips
1991-04-27,Baby Baby,Amy Grant
1991-05-11,Joyride,Roxette
1991-05-18,I Like The Way (The Kissing Game),Hi-Five
1991-05-25,I Don't Wanna Cry,Mariah Carey
1991-06-08,More Than Words,Extreme
1991-06-15,Rush Rush,Paula Abdul
1991-07-20,Unbelievable,EMF
1991-07-27,(Everything I Do) I Do It For You,Bryan Adams
1991-09-14,The Promise Of A New Day,Paula Abdul
1991-09-21,I Adore Mi Amor,Color Me Badd
1991-10-05,Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway
1991-10-12,Emotions,Mariah Carey
1991-11-02,Romantic,Karyn White
1991-11-09,Cream,Prince And The N.P.G.
1991-11-23,When A Man Loves A Woman,Michael Bolton
1991-11-30,Set Adrift On Memory Bliss,P.M. Dawn
1991-12-07,Black Or White,Michael Jackson
1992-01-25,All 4 Love,Color Me Badd
1992-02-01,Don't Let The Sun Go Down On Me,George Michael/Elton John
1992-02-08,I'm Too Sexy,Right Said Fred
1992-02-29,To Be With You,Mr. Big
1992-03-21,Save The Best For Last,Vanessa Williams
1992-04-25,Jump,Kris Kross
1992-06-20,I'll Be There,Mariah Carey
1992-07-04,Baby Got Back,Sir Mix-A-Lot
1992-08-08,This Used To Be My Playground,Madonna
1992-08-15,"End Of The Road (From ""Boomerang"")",Boyz II Men
1992-11-14,How Do You Talk To An Angel,The Heights
1992-11-28,I Will Always Love You,Whitney Houston
1993-03-06,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle
1993-03-13,Informer,Snow
1993-05-01,Freak Me,Silk
1993-05-15,That's The Way Love Goes,Janet Jackson
1993-07-10,Weak,SWV
1993-07-24,"Can't Help Falling In Love (From ""Sliver"")",UB40
1993-09-11,Dreamlover,Mariah Carey
1993-11-06,I'd Do Anything For Love (But I Won't Do That),Meat Loaf
1993-12-11,Again,Janet Jackson
1993-12-25,Hero,Mariah Carey
1994-01-22,All For Love,Bryan Adams/Rod Stewart/Sting
1994-02-12,The Power Of Love,Celine Dion
1994-03-12,The Sign,Ace Of Base
1994-04-09,Bump N' Grind,R. Kelly
1994-05-21,I Swear,All-4-One
1994-08-06,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories
1994-08-27,I'll Make Love To You,Boyz II Men
1994-12-03,On Bended Knee,Boyz II Men
1994-12-17,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze
1995-01-28,Creep,TLC
1995-02-25,Take A Bow,Madonna
1995-04-15,This Is How We Do It,Montell Jordan
1995-06-03,Have You Ever Really Loved A Woman?,Bryan Adams
1995-07-08,Waterfalls,TLC
1995-08-26,Kiss From A Rose,Seal
1995-09-02,You Are Not Alone,Michael Jackson
1995-09-09,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
1995-09-30,Fantasy,Mariah Carey
1995-11-25,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston
1995-12-02,One Sweet Day,Mariah Carey & Boyz II Men
1996-03-23,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
1996-05-04,Always Be My Baby,Mariah Carey
1996-05-18,Tha Crossroads,Bone Thugs-N-Harmony
1996-07-13,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo
1996-07-27,You're Makin' Me High/Let It Flow,Toni Braxton
1996-08-03,Macarena (Bayside Boys Mix),Los Del Rio
1996-11-09,No Diggity,BLACKstreet (Featuring Dr. Dre)
1996-12-07,Un-Break My Heart,Toni Braxton
1997-02-22,Wannabe,Spice Girls
1997-03-22,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase)
1997-05-03,Hypnotize,The Notorious B.I.G.
1997-05-24,MMMBop,Hanson
1997-06-14,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
1997-08-30,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
1997-09-13,Honey,Mariah Carey
1997-10-04,4 Seasons Of Loneliness,Boyz II Men
1997-10-11,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
1998-01-17,Truly Madly Deeply,Savage Garden
1998-01-31,Together Again,Janet
1998-02-14,Nice & Slow,Usher
1998-02-28,My Heart Will Go On,Celine Dion
1998-03-14,Gettin' Jiggy Wit It,Will Smith
1998-04-04,All My Life,K-Ci & JoJo
1998-04-25,Too Close,Next
1998-05-23,My All,Mariah Carey
1998-06-06,The Boy Is Mine,Brandy & Monica
1998-09-05,I Don't Want To Miss A Thing,Aerosmith
1998-10-03,The First Night,Monica
1998-10-17,One Week,Barenaked Ladies
1998-11-14,Doo Wop (That Thing),Lauryn Hill
1998-11-28,Lately,Divine
1998-12-05,I'm Your Angel,R. Kelly & Celine Dion
1999-01-16,Have You Ever?,Brandy
1999-01-30,...Baby One More Time,Britney Spears
1999-02-13,Angel Of Mine,Monica
1999-03-13,Believe,Cher
1999-04-10,No Scrubs,TLC
1999-05-08,Livin' La Vida Loca,Ricky Martin
1999-06-12,If You Had My Love,Jennifer Lopez
1999-07-17,"Bills, Bills, Bills",Destiny's Child
1999-07-24,Wild Wild West,Will Smith Featuring Dru Hill & Kool Mo Dee
1999-07-31,Genie In A Bottle,Christina Aguilera
1999-09-04,Bailamos,Enrique Iglesias
1999-09-18,Unpretty,TLC
1999-10-09,Heartbreaker,Mariah Carey Featuring Jay-Z
1999-10-23,Smooth,Santana Featuring Rob Thomas
2000-01-15,What A Girl Wants,Christina Aguilera
2000-01-29,I Knew I Loved You,Savage Garden
2000-02-19,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-03-04,Amazed,Lonestar
2000-03-18,Say My Name,Destiny's Child
2000-04-08,Maria Maria,Santana Featuring The Product G&B
2000-06-17,Try Again,Aaliyah
2000-06-24,Be With You,Enrique Iglesias
2000-07-15,Everything You Want,Vertical Horizon
2000-07-22,Bent,matchbox twenty
2000-07-29,It's Gonna Be Me,'N Sync
2000-08-12,Incomplete,Sisqo
2000-08-26,Doesn't Really Matter,Janet
2000-09-16,Music,Madonna
2000-10-14,Come On Over Baby (All I Want Is You),Christina Aguilera
2000-11-11,With Arms Wide Open,Creed
2000-11-18,Independent Women Part I,Destiny's Child
2001-02-03,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent"
2001-02-17,Ms. Jackson,OutKast
2001-02-24,Stutter,Joe Featuring Mystikal
2001-03-24,Butterfly,Crazy Town
2001-03-31,Angel,Shaggy Featuring Rayvon
2001-04-14,All For You,Janet
2001-06-02,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk"
2001-07-07,U Remind Me,Usher
2001-08-04,Bootylicious,Destiny's Child
2001-08-18,Fallin',Alicia Keys
2001-09-08,I'm Real,Jennifer Lopez Featuring Ja Rule
2001-11-03,Family Affair,Mary J. Blige
2001-12-15,U Got It Bad,Usher
2001-12-22,How You Remind Me,Nickelback
2002-02-23,Always On Time,Ja Rule Featuring Ashanti
2002-03-09,Ain't It Funny,Jennifer Lopez Featuring Ja Rule
2002-04-20,Foolish,Ashanti
2002-06-29,Hot In Herre,Nelly
2002-08-17,Dilemma,Nelly Featuring Kelly Rowland
2002-10-05,A Moment Like This,Kelly Clarkson
2002-11-09,Lose Yourself,Eminem
2003-02-01,"Bump, Bump, Bump",B2K & P. Diddy
2003-02-08,All I Have,Jennifer Lopez Featuring LL Cool J
2003-03-08,In Da Club,50 Cent
2003-05-10,Get Busy,Sean Paul
2003-05-31,21 Questions,50 Cent Featuring Nate Dogg
2003-06-28,This Is The Night,Clay Aiken
2003-07-12,Crazy In Love,Beyonce Featuring Jay Z
2003-09-06,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee"
2003-10-04,Baby Boy,Beyonce Featuring Sean Paul
2003-12-06,Stand Up,Ludacris Featuring Shawnna
2003-12-13,Hey Ya!,OutKast
2004-02-14,The Way You Move,OutKast Featuring Sleepy Brown
2004-02-21,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx
2004-02-28,Yeah!,Usher Featuring Lil Jon & Ludacris
2004-05-22,Burn,Usher
2004-07-10,I Believe,Fantasia
2004-07-24,Confessions Part II,Usher
2004-08-07,Slow Motion,Juvenile Featuring Soulja Slim
2004-08-21,Lean Back,Terror Squad
2004-09-11,Goodies,Ciara Featuring Petey Pablo
2004-10-30,My Boo,Usher And Alicia Keys
2004-12-11,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell
2005-01-01,Let Me Love You,Mario
2005-03-05,Candy Shop,50 Cent Featuring Olivia
2005-05-07,Hollaback Girl,Gwen Stefani
2005-06-04,We Belong Together,Mariah Carey
2005-07-02,Inside Your Heaven,Carrie Underwood
2005-09-17,Gold Digger,Kanye West Featuring Jamie Foxx
2005-11-26,Run It!,Chris Brown
2005-12-31,Don't Forget About Us,Mariah Carey
2006-01-14,Laffy Taffy,D4L
2006-01-21,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
2006-02-04,Check On It,Beyonce Featuring Slim Thug
2006-03-11,You're Beautiful,James Blunt
2006-03-18,So Sick,Ne-Yo
2006-04-01,Temperature,Sean Paul
2006-04-08,Bad Day,Daniel Powter
2006-05-13,SOS,Rihanna
2006-06-03,Ridin',Chamillionaire Featuring Krayzie Bone
2006-06-17,Hips Don't Lie,Shakira Featuring Wyclef Jean
2006-07-01,Do I Make You Proud,Taylor Hicks
2006-07-08,Promiscuous,Nelly Furtado Featuring Timbaland
2006-08-19,London Bridge,Fergie
2006-09-09,SexyBack,Justin Timberlake
2006-10-28,Money Maker,Ludacris Featuring Pharrell
2006-11-11,My Love,Justin Timberlake Featuring T.I.
2006-12-02,I Wanna Love You,Akon Featuring Snoop Dogg
2006-12-16,Irreplaceable,Beyonce
2007-02-24,Say It Right,Nelly Furtado
2007-03-03,What Goes Around...Comes Around,Justin Timberlake
2007-03-10,This Is Why I'm Hot,Mims
2007-03-24,Glamorous,Fergie Featuring Ludacris
2007-04-07,Don't Matter,Akon
2007-04-21,Give It To Me,Timbaland Featuring Nelly Furtado & Justin Timberlake
2007-05-05,Girlfriend,Avril Lavigne
2007-05-12,Makes Me Wonder,Maroon 5
2007-05-26,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
2007-06-09,Umbrella,Rihanna Featuring Jay-Z
2007-07-28,Hey There Delilah,Plain White T's
2007-08-11,Beautiful Girls,Sean Kingston
2007-09-08,Big Girls Don't Cry,Fergie
2007-09-15,Crank That (Soulja Boy),Soulja Boy Tell'em
2007-09-29,Stronger,Kanye West
2007-11-10,Kiss Kiss,Chris Brown Featuring T-Pain
2007-12-01,No One,Alicia Keys
2008-01-05,Low,Flo Rida Featuring T-Pain
2008-03-15,Love In This Club,Usher Featuring Young Jeezy
2008-04-05,Bleeding Love,Leona Lewis
2008-04-12,Touch My Body,Mariah Carey
2008-05-03,Lollipop,Lil Wayne Featuring Static Major
2008-05-24,Take A Bow,Rihanna
2008-06-28,Viva La Vida,Coldplay
2008-07-05,I Kissed A Girl,Katy Perry
2008-08-23,Disturbia,Rihanna
2008-09-06,Whatever You Like,T.I.
2008-09-27,So What,P!nk
2008-10-18,Live Your Life,T.I. Featuring Rihanna
2008-10-25,Womanizer,Britney Spears
2008-12-13,Single Ladies (Put A Ring On It),Beyonce
2009-01-17,Just Dance,Lady Gaga Featuring Colby O'Donis
2009-02-07,My Life Would Suck Without You,Kelly Clarkson
2009-02-21,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent"
2009-02-28,Right Round,Flo Rida
2009-04-11,Poker Face,Lady Gaga
2009-04-18,Boom Boom Pow,The Black Eyed Peas
2009-07-11,I Gotta Feeling,The Black Eyed Peas
2009-10-17,Down,Jay Sean Featuring Lil Wayne
2009-10-24,3,Britney Spears
2009-11-07,Fireflies,Owl City
2009-11-14,Whatcha Say,Jason Derulo
2009-11-28,Empire State Of Mind,Jay-Z + Alicia Keys
2010-01-02,TiK ToK,Ke$ha
2010-03-06,Imma Be,The Black Eyed Peas
2010-03-20,Break Your Heart,Taio Cruz Featuring Ludacris
2010-03-27,Rude Boy,Rihanna
2010-05-01,Nothin' On You,B.o.B Featuring Bruno Mars
2010-05-15,OMG,Usher Featuring will.i.am
2010-05-22,Not Afraid,Eminem
2010-06-19,California Gurls,Katy Perry Featuring Snoop Dogg
2010-07-31,Love The Way You Lie,Eminem Featuring Rihanna
2010-09-18,Teenage Dream,Katy Perry
2010-10-02,Just The Way You Are,Bruno Mars
2010-10-30,Like A G6,Far*East Movement Featuring Cataracs & Dev
2010-11-13,We R Who We R,Ke$ha
2010-11-20,What's My Name?,Rihanna Featuring Drake
2010-12-04,Only Girl (In The World),Rihanna
2010-12-11,Raise Your Glass,P!nk
2010-12-18,Firework,Katy Perry
2011-01-08,Grenade,Bruno Mars
2011-01-29,Hold It Against Me,Britney Spears
2011-02-19,Black And Yellow,Wiz Khalifa
2011-02-26,Born This Way,Lady Gaga
2011-04-09,E.T.,Katy Perry Featuring Kanye West
2011-04-30,S&M,Rihanna Featuring Britney Spears
2011-05-21,Rolling In The Deep,Adele
2011-07-09,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
2011-07-16,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock
2011-08-27,Last Friday Night (T.G.I.F.),Katy Perry
2011-09-10,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
2011-09-17,Someone Like You,Adele
2011-11-12,We Found Love,Rihanna Featuring Calvin Harris
2012-01-07,Sexy And I Know It,LMFAO
2012-02-04,Set Fire To The Rain,Adele
2012-02-18,Stronger (What Doesn't Kill You),Kelly Clarkson
2012-03-03,Part Of Me,Katy Perry
2012-03-17,We Are Young,fun. Featuring Janelle Monae
2012-04-28,Somebody That I Used To Know,Gotye Featuring Kimbra
2012-06-23,Call Me Maybe,Carly Rae Jepsen
2012-08-25,Whistle,Flo Rida
2012-09-01,We Are Never Ever Getting Back Together,Taylor Swift
2012-09-29,One More Night,Maroon 5
2012-12-01,Diamonds,Rihanna
2012-12-22,Locked Out Of Heaven,Bruno Mars
2013-02-02,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz
2013-03-02,Harlem Shake,Baauer
2013-04-20,When I Was Your Man,Bruno Mars
2013-04-27,Just Give Me A Reason,P!nk Featuring Nate Ruess
2013-05-18,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
2013-06-22,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell
2013-09-14,Roar,Katy Perry
2013-09-28,Wrecking Ball,Miley Cyrus
2013-10-12,Royals,Lorde
2013-12-21,The Monster,Eminem Featuring Rihanna
2014-01-18,Timber,Pitbull Featuring Ke$ha
2014-02-08,Dark Horse,Katy Perry Featuring Juicy J
2014-03-08,Happy,Pharrell Williams
2014-05-17,All Of Me,John Legend
2014-06-07,Fancy,Iggy Azalea Featuring Charli XCX
2014-07-26,Rude,MAGIC!
2014-09-06,Shake It Off,Taylor Swift
2014-09-20,All About That Bass,Meghan Trainor
2014-11-29,Blank Space,Taylor Swift
2015-01-17,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-04-25,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-06-06,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-07-25,Cheerleader,OMI
2015-08-22,Can't Feel My Face,The Weeknd
2015-09-19,What Do You Mean?,Justin Bieber
2015-10-03,The Hills,The Weeknd
2015-11-14,Hello,Adele
2016-01-23,Sorry,Justin Bieber
2016-02-13,Love Yourself,Justin Bieber
2016-02-20,Pillowtalk,Zayn
2016-03-05,Work,Rihanna Featuring Drake
2016-05-07,Panda,Desiigner
2016-05-21,One Dance,Drake Featuring WizKid & Kyla
2016-05-28,Can't Stop The Feeling!,Justin Timberlake
2016-08-06,Cheap Thrills,Sia Featuring Sean Paul
2016-09-03,Closer,The Chainsmokers Featuring Halsey
2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane
2017-01-07,Starboy,The Weeknd Featuring Daft Punk
2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert
2017-01-28,Shape Of You,Ed Sheeran
2017-05-06,Humble.,Kendrick Lamar
2017-05-13,That's What I Like,Bruno Mars
