chart_week,title,performer
1962-11-03,He's A Rebel,The Crystals
1962-11-17,Big Girls Don't Cry,The 4 Seasons
1962-12-22,Telstar,The Tornadoes
1963-01-12,Go Away Little Girl,Steve Lawrence
1963-01-26,Walk Right In,The Rooftop Singers
1963-02-09,Hey Paula,Paul and Paula
1963-03-02,Walk Like A Man,The 4 Seasons
1963-03-23,Our Day Will Come,Ruby And The Romantics
1963-03-30,He's So Fine,The Chiffons
1963-04-27,I Will Follow Him,Little Peggy March
1963-05-18,If You Wanna Be Happy,Jimmy Soul
1963-06-01,It's My Party,Lesley Gore
1963-06-15,Sukiyaki,Kyu Sakamoto
1963-07-06,Easier Said Than Done,The Essex
1963-07-20,Surf City,Jan & Dean
1963-08-03,So Much In Love,The Tymes
1963-08-10,Fingertips - Pt 2,Little Stevie Wonder
1963-08-31,My Boyfriend's Back,The Angels
1963-09-21,Blue Velvet,Bobby Vinton
1963-10-12,Sugar Shack,Jimmy Gilmer And The Fireballs
1963-11-16,Deep Purple,Nino Tempo & April Stevens
1963-11-23,I'm Leaving It Up To You,Dale & Grace
1963-12-07,Dominique,The Singing Nun (Soeur Sourire)
1964-01-04,There! I've Said It Again,Bobby Vinton
1964-02-01,I Want To Hold Your Hand,The Beatles
1964-03-21,She Loves You,The Beatles
1964-04-04,Can't Buy Me Love,The Beatles
1964-05-09,"Hello, Dolly!",Louis Armstrong And The All Stars
1964-05-16,My Guy,Mary Wells
1964-05-30,Love Me Do,The Beatles
1964-06-06,Chapel Of Love,The Dixie Cups
1964-06-27,A World Without Love,Peter And Gordon
1964-07-04,I Get Around,The Beach Boys
1964-07-18,Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
1964-08-01,A Hard Day's Night,The Beatles
1964-08-15,Everybody Loves Somebody,Dean Martin
1964-08-22,Where Did Our Love Go,The Supremes
1964-09-05,House Of The Rising Sun,The Animals
1964-09-26,"Oh, Pretty Woman",Roy Orbison And The Candy Men
1964-10-17,Do Wah Diddy Diddy,Manfred Mann
1964-10-31,Baby Love,The Supremes
1964-11-28,Leader Of The Pack,The Shangri-Las
1964-12-05,Ringo,Lorne Greene
1964-12-12,Mr. Lonely,Bobby Vinton
1964-12-19,Come See About Me,The Supremes
1964-12-26,I Feel Fine,The Beatles
1965-01-23,Downtown,Petula Clark
1965-02-06,You've Lost That Lovin' Feelin',The Righteous Brothers
1965-02-20,This Diamond Ring,Gary Lewis And The Playboys
1965-03-06,My Girl,The Temptations
1965-03-13,Eight Days A Week,The Beatles
1965-03-27,Stop! In The Name Of Love,The Supremes
1965-04-10,I'm Telling You Now,Freddie And The Dreamers
1965-04-24,Game Of Love,Wayne Fontana & The Mindbenders
1965-05-01,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits
1965-05-22,Ticket To Ride,The Beatles
